,Review
0,8/10 | 
1,"9/10 | Interesting movie about an interracial couple who decide to go for the weekend to visit the girl's parents, the boyfriend Chris starts noticing odd behaviors from the African Americans house workers and what started as a fun relaxing weekend slowly turns into a living nightmare for him.

The idea is original and interesting, the acting was good by all but I felt that Daniel Kaluuya was not emotional enough and his reactions was too cold in many scenes! but generally speaking the movie is well paced from all aspects yet I won't call this a horror in anyway, to me it's no more than a psychological suspense thriller...it gets tense but never scary.

The movie has its share of racism that can't go unnoticed but it's not too much, mainly stereotypical yet I believe that the concept of the plot can executed on any race, which clearly hinted in Stephen Root's final scene. An open minded audience can go throw it, enjoy it without any care for its racism.
67 out of 101 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
2,"5/10 | I decided to see this film at the theater after hearing some of the hype (which was basically that it is an excellent horror film that is told from the perspective of a black man).

Well, I can see this would be truly the worst nightmare of a black man (and really the worst nightmare for us all). This is NOT a film that tries to make the viewer feel ""sorry"" for black people, nor is it at all preachy, but it is just a good old fashioned horror film with a fresh new setting. I'm an old white guy by the way.

The acting is wonderful, and directing is amazing. The film, while mostly horror, is actually completely hilarious in some parts, making it the funniest AND scariest movie I have seen in ages (no easy feat). It is a shame that the film will likely not be regarded in the company of Academy Award potential nominees, because the directing and acting is honestly Oscar worthy. Again, no small feat for a horror movie that is also funny.

In summary, this is a MUST SEE at the theater and one of the best films of the year. It is a fun ride that is very well done!"
3,9/10 | 
4,"5/10 | Let's clear the air about this film. It's not a horror film. It's not a comedy. What it is, is a suspenseful thriller of the highest level, worthy to be compared to Hitchcock caliber. The humor is there, along with a few horror scenes, but not enough to overshadow the main theme of the story. The film hits all cylinders with almost no misfires. As far as complaints that the film is racist, it is not. It would work just as well with an all-black or all-white cast. Those complaints are from people who are uncomfortable with black people or interracial relationships and are letting it distract them from the narrative of the film. I most certainly hope that it reaches the wider audience that it so richly deserves.
399 out of 723 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
5,8/10 | 
6,4/10 | 
7,10/10 | 
8,"1/10 | I was totally blown away by ""Get Out"". This is one of the best turns by an actor behind the camera I have ever seen (Jordan Peele). Probably the timely social commentary is going to loom heavily when discussing the film; however this shouldn't conceal the fact that this is a masterclass cinematic work that has been thought out to the very last detail; it knows what it wants to say and how to say it, balancing wildly contrasting tones and defeating potential clichés with stylistic bravura. Of course everything stems from a rock solid script, where the plot points are cunningly engineered, and then fleshed out in a disciplined and take no prisoners kind of way. There is much to admire and enjoy here, including some surreal imagery that is as stunning as it is disturbing, always serving a purpose within the narrative; there are also brilliant soundtrack choices and you get subtle nods at the masters that came before (Kubrick and Wes Craven, specially). The plot involves one of those frequently visited ""fish out of the water"" type of settings where it's up to the director to make the most out of it. Which fortunately is the case here, since you get plenty of real character development and a tight, innuendo ridden dialogue that really gets under your skin. All this, together with the inspired camera work, contributes to the success of this tricky enterprise as a whole. Kudos to all the actors for going all the way with the provocative premise, considering that it could have totally backfired in less confident hands. Everything amounts to a deliciously wry slice of cinematic paranoia served with a side of cathartic humor that appropriately reflects the political times we are living in. And make no mistake, this is a true horror film that refuses to pull any punches; if you thought that Peele was just going for the laughs and the cheap scares you will get more than you bargained for. ""Get out"" will shock you silly and will make you think. Then you will want to watch it again and try to figure out how he pulled the trick."
9,2/10 | 
